




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (427)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
nucleoside phosphate biosynthetic process (GO:1901293)	299	17	6.20	+	2.74	1.85E-04	9.56E-03
cellular response to peptide hormone stimulus (GO:0071375)	282	16	5.85	+	2.73	2.90E-04	1.41E-02
regulation of ERK1 and ERK2 cascade (GO:0070372)	283	16	5.87	+	2.72	3.02E-04	1.45E-02
gliogenesis (GO:0042063)	283	16	5.87	+	2.72	3.02E-04	1.45E-02
carboxylic acid transport (GO:0046942)	301	17	6.25	+	2.72	2.00E-04	1.03E-02
organic acid transport (GO:0015849)	302	17	6.27	+	2.71	2.08E-04	1.06E-02
small molecule catabolic process (GO:0044282)	357	20	7.41	+	2.70	6.27E-05	3.94E-03
organic acid catabolic process (GO:0016054)	233	13	4.83	+	2.69	1.22E-03	4.32E-02
carboxylic acid catabolic process (GO:0046395)	233	13	4.83	+	2.69	1.22E-03	4.31E-02
purine-containing compound metabolic process (GO:0072521)	509	28	10.56	+	2.65	3.13E-06	3.30E-04
negative regulation of response to external stimulus (GO:0032102)	404	22	8.38	+	2.62	4.17E-05	2.83E-03
establishment of protein localization to organelle (GO:0072594)	354	19	7.34	+	2.59	1.66E-04	8.81E-03
actin filament organization (GO:0007015)	280	15	5.81	+	2.58	8.05E-04	3.17E-02
positive regulation of protein transport (GO:0051222)	263	14	5.46	+	2.57	1.26E-03	4.38E-02
gland development (GO:0048732)	433	23	8.98	+	2.56	4.11E-05	2.82E-03
blood circulation (GO:0008015)	433	23	8.98	+	2.56	4.11E-05	2.81E-03
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	283	15	5.87	+	2.55	8.96E-04	3.44E-02
nucleotide metabolic process (GO:0009117)	434	23	9.00	+	2.55	4.26E-05	2.87E-03
positive regulation of transport (GO:0051050)	853	45	17.70	+	2.54	1.00E-08	3.09E-06
regulation of monoatomic cation transmembrane transport (GO:1904062)	266	14	5.52	+	2.54	1.41E-03	4.59E-02
protein maturation (GO:0051604)	554	29	11.49	+	2.52	5.48E-06	4.99E-04
nucleobase-containing small molecule metabolic process (GO:0055086)	612	32	12.70	+	2.52	1.82E-06	2.18E-04
regulation of cell migration (GO:0030334)	957	50	19.86	+	2.52	3.14E-09	1.16E-06
carboxylic acid biosynthetic process (GO:0046394)	288	15	5.98	+	2.51	1.07E-03	3.91E-02
blood vessel morphogenesis (GO:0048514)	442	23	9.17	+	2.51	5.63E-05	3.60E-03
chemical homeostasis (GO:0048878)	946	49	19.63	+	2.50	5.32E-09	1.74E-06
circulatory system process (GO:0003013)	523	27	10.85	+	2.49	1.48E-05	1.21E-03
organic acid biosynthetic process (GO:0016053)	292	15	6.06	+	2.48	1.23E-03	4.31E-02
protein transport (GO:0015031)	1110	57	23.03	+	2.47	2.83E-10	2.09E-07
negative regulation of transport (GO:0051051)	409	21	8.49	+	2.47	1.42E-04	7.68E-03
regulation of cell motility (GO:2000145)	1016	52	21.08	+	2.47	2.15E-09	8.79E-07
regulation of cell adhesion (GO:0030155)	802	41	16.64	+	2.46	1.47E-07	2.89E-05
small molecule metabolic process (GO:0044281)	1567	80	32.51	+	2.46	3.96E-14	1.17E-10
nucleoside phosphate metabolic process (GO:0006753)	588	30	12.20	+	2.46	9.94E-06	8.57E-04
regulation of transmembrane transport (GO:0034762)	412	21	8.55	+	2.46	1.57E-04	8.34E-03
regulation of monoatomic ion transmembrane transport (GO:0034765)	295	15	6.12	+	2.45	1.36E-03	4.53E-02
positive regulation of establishment of protein localization (GO:1904951)	335	17	6.95	+	2.45	6.82E-04	2.76E-02
regulation of metal ion transport (GO:0010959)	355	18	7.37	+	2.44	4.84E-04	2.11E-02
organophosphate biosynthetic process (GO:0090407)	572	29	11.87	+	2.44	1.53E-05	1.25E-03
cell junction organization (GO:0034330)	574	29	11.91	+	2.44	1.57E-05	1.28E-03
renal system development (GO:0072001)	318	16	6.60	+	2.42	1.06E-03	3.90E-02
regulation of cellular localization (GO:0060341)	537	27	11.14	+	2.42	3.47E-05	2.46E-03
blood vessel development (GO:0001568)	537	27	11.14	+	2.42	3.47E-05	2.45E-03
vesicle-mediated transport (GO:0016192)	1321	66	27.41	+	2.41	3.60E-11	4.09E-08
epithelial cell differentiation (GO:0030855)	662	33	13.74	+	2.40	4.24E-06	4.12E-04
protein localization to membrane (GO:0072657)	322	16	6.68	+	2.39	1.21E-03	4.29E-02
cellular response to hormone stimulus (GO:0032870)	564	28	11.70	+	2.39	2.71E-05	2.05E-03
lipid metabolic process (GO:0006629)	1217	60	25.25	+	2.38	4.87E-10	2.88E-07
establishment of protein localization (GO:0045184)	1325	65	27.49	+	2.36	8.80E-11	7.64E-08
regulation of locomotion (GO:0040012)	1060	52	21.99	+	2.36	1.07E-08	3.21E-06
regulation of small molecule metabolic process (GO:0062012)	347	17	7.20	+	2.36	1.00E-03	3.71E-02
regulation of apoptotic signaling pathway (GO:2001233)	389	19	8.07	+	2.35	8.03E-04	3.18E-02
synapse organization (GO:0050808)	371	18	7.70	+	2.34	1.20E-03	4.25E-02
epithelium development (GO:0060429)	1139	55	23.63	+	2.33	5.25E-09	1.76E-06
vasculature development (GO:0001944)	562	27	11.66	+	2.32	5.80E-05	3.68E-03
organophosphate metabolic process (GO:0019637)	988	47	20.50	+	2.29	1.21E-07	2.48E-05
endomembrane system organization (GO:0010256)	590	28	12.24	+	2.29	5.00E-05	3.26E-03
carbohydrate derivative biosynthetic process (GO:1901137)	549	26	11.39	+	2.28	9.80E-05	5.67E-03
oxoacid metabolic process (GO:0043436)	824	39	17.10	+	2.28	2.00E-06	2.38E-04
cellular response to nitrogen compound (GO:1901699)	615	29	12.76	+	2.27	4.03E-05	2.78E-03
regulation of monoatomic ion transport (GO:0043269)	425	20	8.82	+	2.27	7.42E-04	2.97E-02
positive regulation of protein localization (GO:1903829)	447	21	9.27	+	2.26	5.43E-04	2.30E-02
organic acid metabolic process (GO:0006082)	833	39	17.28	+	2.26	2.40E-06	2.70E-04
response to peptide hormone (GO:0043434)	407	19	8.44	+	2.25	1.10E-03	4.01E-02
cell adhesion (GO:0007155)	968	45	20.08	+	2.24	6.26E-07	9.42E-05
regulation of cell growth (GO:0001558)	409	19	8.49	+	2.24	1.15E-03	4.15E-02
intracellular monoatomic cation homeostasis (GO:0030003)	436	20	9.05	+	2.21	9.45E-04	3.60E-02
monocarboxylic acid metabolic process (GO:0032787)	526	24	10.91	+	2.20	4.62E-04	2.04E-02
monoatomic ion homeostasis (GO:0050801)	529	24	10.98	+	2.19	4.77E-04	2.09E-02
morphogenesis of an epithelium (GO:0002009)	486	22	10.08	+	2.18	6.00E-04	2.50E-02
intracellular monoatomic ion homeostasis (GO:0006873)	445	20	9.23	+	2.17	1.17E-03	4.20E-02
carboxylic acid metabolic process (GO:0019752)	802	36	16.64	+	2.16	1.91E-05	1.50E-03
regulation of transport (GO:0051049)	1605	72	33.30	+	2.16	4.10E-10	2.52E-07
response to hormone (GO:0009725)	828	37	17.18	+	2.15	1.45E-05	1.20E-03
monoatomic cation homeostasis (GO:0055080)	518	23	10.75	+	2.14	7.63E-04	3.03E-02
membrane organization (GO:0061024)	789	35	16.37	+	2.14	2.99E-05	2.20E-03
cellular response to endogenous stimulus (GO:0071495)	971	43	20.15	+	2.13	4.21E-06	4.17E-04
homeostatic process (GO:0042592)	1539	68	31.93	+	2.13	3.65E-09	1.31E-06
tissue development (GO:0009888)	1814	80	37.64	+	2.13	1.14E-10	9.32E-08
nitrogen compound transport (GO:0071705)	1546	68	32.08	+	2.12	3.94E-09	1.38E-06
regulation of hormone levels (GO:0010817)	569	25	11.81	+	2.12	4.54E-04	2.03E-02
cell population proliferation (GO:0008283)	755	33	15.66	+	2.11	6.57E-05	4.07E-03
carbohydrate derivative metabolic process (GO:1901135)	894	39	18.55	+	2.10	1.79E-05	1.42E-03
multicellular organismal-level homeostasis (GO:0048871)	691	30	14.34	+	2.09	1.76E-04	9.17E-03
response to nutrient levels (GO:0031667)	507	22	10.52	+	2.09	1.24E-03	4.35E-02
regulation of growth (GO:0040008)	605	26	12.55	+	2.07	6.67E-04	2.75E-02
protein localization to organelle (GO:0033365)	707	30	14.67	+	2.05	2.24E-04	1.12E-02
response to growth factor (GO:0070848)	519	22	10.77	+	2.04	1.53E-03	4.94E-02
intracellular transport (GO:0046907)	1254	53	26.02	+	2.04	9.55E-07	1.34E-04
actin cytoskeleton organization (GO:0030036)	546	23	11.33	+	2.03	1.25E-03	4.37E-02
negative regulation of immune system process (GO:0002683)	546	23	11.33	+	2.03	1.25E-03	4.36E-02
circulatory system development (GO:0072359)	957	40	19.86	+	2.01	3.42E-05	2.44E-03
regulation of localization (GO:0032879)	2019	84	41.89	+	2.01	5.50E-10	3.01E-07
tube morphogenesis (GO:0035239)	700	29	14.52	+	2.00	3.95E-04	1.84E-02
response to endogenous stimulus (GO:0009719)	1244	51	25.81	+	1.98	4.34E-06	4.18E-04
tube development (GO:0035295)	936	38	19.42	+	1.96	8.38E-05	4.97E-03
actin filament-based process (GO:0030029)	622	25	12.91	+	1.94	1.54E-03	4.95E-02
transport (GO:0006810)	3735	150	77.49	+	1.94	3.49E-17	1.29E-13
positive regulation of cellular component organization (GO:0051130)	1127	45	23.38	+	1.92	3.31E-05	2.40E-03
cellular response to chemical stimulus (GO:0070887)	2010	80	41.70	+	1.92	1.24E-08	3.58E-06
phosphate-containing compound metabolic process (GO:0006796)	1412	56	29.30	+	1.91	2.66E-06	2.93E-04
establishment of localization (GO:0051234)	3962	157	82.20	+	1.91	1.26E-17	6.18E-14
phosphorus metabolic process (GO:0006793)	1415	56	29.36	+	1.91	3.97E-06	3.96E-04
regulation of protein localization (GO:0032880)	910	36	18.88	+	1.91	2.90E-04	1.41E-02
establishment of localization in cell (GO:0051649)	1662	64	34.48	+	1.86	1.43E-06	1.81E-04
macromolecule localization (GO:0033036)	2316	89	48.05	+	1.85	6.69E-09	2.15E-06
cellular localization (GO:0051641)	2008	77	41.66	+	1.85	1.40E-07	2.79E-05
intracellular protein localization (GO:0008104)	1879	72	38.99	+	1.85	3.77E-07	6.47E-05
catabolic process (GO:0009056)	2077	79	43.09	+	1.83	9.38E-08	2.01E-05
response to nitrogen compound (GO:1901698)	1028	39	21.33	+	1.83	2.81E-04	1.38E-02
localization (GO:0051179)	4565	173	94.72	+	1.83	9.41E-18	6.95E-14
monoatomic cation transport (GO:0006812)	847	32	17.57	+	1.82	1.18E-03	4.22E-02
monoatomic ion transport (GO:0006811)	1037	38	21.52	+	1.77	7.00E-04	2.83E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	1627	59	33.76	+	1.75	2.54E-05	1.93E-03
regulation of cellular component organization (GO:0051128)	2512	91	52.12	+	1.75	8.21E-08	1.86E-05
cellular response to oxygen-containing compound (GO:1901701)	1086	39	22.53	+	1.73	9.14E-04	3.50E-02
regulation of response to external stimulus (GO:0032101)	1122	40	23.28	+	1.72	7.87E-04	3.12E-02
transmembrane transport (GO:0055085)	1299	46	26.95	+	1.71	3.86E-04	1.80E-02
neurogenesis (GO:0022008)	1433	50	29.73	+	1.68	3.32E-04	1.59E-02
anatomical structure morphogenesis (GO:0009653)	2303	80	47.78	+	1.67	3.82E-06	3.84E-04
positive regulation of signal transduction (GO:0009967)	1619	56	33.59	+	1.67	1.71E-04	8.95E-03
positive regulation of cell communication (GO:0010647)	1822	62	37.80	+	1.64	9.74E-05	5.66E-03
positive regulation of signaling (GO:0023056)	1823	62	37.82	+	1.64	9.82E-05	5.66E-03
regulation of biological quality (GO:0065008)	3033	103	62.93	+	1.64	2.57E-07	4.69E-05
regulation of programmed cell death (GO:0043067)	1534	52	31.83	+	1.63	5.12E-04	2.21E-02
response to stress (GO:0006950)	3577	120	74.22	+	1.62	3.09E-08	7.99E-06
system development (GO:0048731)	3670	119	76.15	+	1.56	2.58E-07	4.65E-05
negative regulation of response to stimulus (GO:0048585)	1768	57	36.68	+	1.55	8.52E-04	3.32E-02
cellular developmental process (GO:0048869)	3809	121	79.03	+	1.53	5.50E-07	8.46E-05
cell differentiation (GO:0030154)	3806	120	78.97	+	1.52	1.04E-06	1.42E-04
animal organ development (GO:0048513)	2935	92	60.90	+	1.51	4.48E-05	2.98E-03
multicellular organism development (GO:0007275)	4074	127	84.53	+	1.50	7.71E-07	1.11E-04
response to chemical (GO:0042221)	3736	116	77.52	+	1.50	3.26E-06	3.41E-04
regulation of signal transduction (GO:0009966)	3130	97	64.94	+	1.49	3.96E-05	2.74E-03
nervous system development (GO:0007399)	2307	71	47.87	+	1.48	6.24E-04	2.59E-02
anatomical structure development (GO:0048856)	5370	164	111.42	+	1.47	2.04E-08	5.47E-06
positive regulation of response to stimulus (GO:0048584)	2316	70	48.05	+	1.46	1.43E-03	4.66E-02
regulation of signaling (GO:0023051)	3579	108	74.26	+	1.45	3.34E-05	2.40E-03
regulation of cell communication (GO:0010646)	3583	108	74.34	+	1.45	3.39E-05	2.43E-03
developmental process (GO:0032502)	5903	175	122.48	+	1.43	3.95E-08	9.72E-06
multicellular organismal process (GO:0032501)	6486	190	134.57	+	1.41	1.46E-08	4.05E-06
metabolic process (GO:0008152)	7644	222	158.60	+	1.40	3.55E-10	2.38E-07
biosynthetic process (GO:0009058)	4024	116	83.49	+	1.39	1.24E-04	6.83E-03
regulation of response to stimulus (GO:0048583)	4142	119	85.94	+	1.38	1.14E-04	6.44E-03
regulation of multicellular organismal process (GO:0051239)	2996	86	62.16	+	1.38	1.40E-03	4.58E-02
cellular component organization (GO:0016043)	5732	162	118.93	+	1.36	5.43E-06	4.98E-04
cellular component organization or biogenesis (GO:0071840)	5942	163	123.29	+	1.32	3.06E-05	2.25E-03
primary metabolic process (GO:0044238)	6776	185	140.59	+	1.32	7.02E-06	6.24E-04
positive regulation of cellular process (GO:0048522)	5828	159	120.92	+	1.31	5.63E-05	3.58E-03
positive regulation of biological process (GO:0048518)	6174	168	128.10	+	1.31	3.73E-05	2.60E-03
cellular response to stimulus (GO:0051716)	6499	169	134.84	+	1.25	4.15E-04	1.92E-02
response to stimulus (GO:0050896)	8315	213	172.52	+	1.23	6.48E-05	4.05E-03
cellular process (GO:0009987)	15556	392	322.76	+	1.21	3.30E-18	4.88E-14
biological_process (GO:0008150)	17753	414	368.34	+	1.12	4.80E-14	1.18E-10
regulation of macromolecule biosynthetic process (GO:0010556)	5019	75	104.14	-	.72	7.57E-04	3.02E-02
regulation of gene expression (GO:0010468)	4913	72	101.94	-	.71	4.52E-04	2.02E-02
regulation of RNA biosynthetic process (GO:2001141)	3394	41	70.42	-	.58	5.34E-05	3.46E-03
regulation of RNA metabolic process (GO:0051252)	3659	44	75.92	-	.58	1.70E-05	1.36E-03
regulation of DNA-templated transcription (GO:0006355)	3382	40	70.17	-	.57	2.94E-05	2.18E-03
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3962	46	82.20	-	.56	2.15E-06	2.50E-04
regulation of transcription by RNA polymerase II (GO:0006357)	2649	29	54.96	-	.53	5.48E-05	3.53E-03
negative regulation of RNA metabolic process (GO:0051253)	1486	14	30.83	-	.45	6.33E-04	2.62E-02
negative regulation of RNA biosynthetic process (GO:1902679)	1375	12	28.53	-	.42	5.46E-04	2.31E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1615	14	33.51	-	.42	1.20E-04	6.68E-03
negative regulation of DNA-templated transcription (GO:0045892)	1366	11	28.34	-	.39	2.42E-04	1.20E-02
nucleic acid metabolic process (GO:0090304)	2201	13	45.67	-	.28	4.54E-09	1.56E-06
cell cycle process (GO:0022402)	906	5	18.80	-	.27	2.84E-04	1.39E-02
RNA metabolic process (GO:0016070)	1572	8	32.62	-	.25	1.75E-07	3.40E-05
Unclassified (UNCLASSIFIED)	2827	13	58.66	-	.22	4.80E-14	1.01E-10
nucleic acid biosynthetic process (GO:0141187)	1504	6	31.21	-	.19	2.86E-08	7.54E-06
RNA biosynthetic process (GO:0032774)	1414	5	29.34	-	.17	3.21E-08	8.18E-06
RNA processing (GO:0006396)	886	3	18.38	-	.16	1.70E-05	1.36E-03
detection of chemical stimulus (GO:0009593)	522	1	10.83	-	.09	4.46E-04	2.01E-02
sensory perception of chemical stimulus (GO:0007606)	550	1	11.41	-	.09	2.01E-04	1.03E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	437	0	9.07	-	 < 0.01	2.26E-04	1.13E-02
detection of chemical stimulus involved in sensory perception (GO:0050907)	485	0	10.06	-	 < 0.01	6.54E-05	4.07E-03
sensory perception of smell (GO:0007608)	469	0	9.73	-	 < 0.01	9.85E-05	5.66E-03
